px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
17.7333	5.79063	5.12385	0.841979	0.342575	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	2.24267
17.7333	5.79063	5.12385	0.841979	0.342575	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	0
18.0891	6.17138	5.14309	0.865582	0.327848	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.0986662
18.0891	6.17138	5.14309	0.865582	0.327848	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0
18.3367	6.6125	5.1093	0.945004	0.391691	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	1.26587
18.3367	6.6125	5.1093	0.945004	0.391691	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0
18.6108	6.94045	4.96233	0.959654	0.359916	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	2.43151
18.6108	6.94045	4.96233	0.959654	0.359916	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0
18.9923	7.27869	4.97407	0.927715	0.267591	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	2.44123
18.9923	7.27869	4.97407	0.927715	0.267591	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	0
19.173	7.75977	4.96935	1.02824	0.367544	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	2.83224
19.173	7.75977	4.96935	1.02824	0.367544	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0
19.3148	8.18325	4.85137	1.11018	0.42978	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	2.49514
19.3148	8.18325	4.85137	1.11018	0.42978	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	0
19.4695	8.52451	4.65253	1.14879	0.426566	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	3.97145
19.4695	8.52451	4.65253	1.14879	0.426566	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0
19.7883	8.9161	4.71562	1.11536	0.323697	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	3.4565
19.7883	8.9161	4.71562	1.11536	0.323697	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	0
20.0482	9.37303	4.81671	1.12632	0.294021	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	1.27327
20.0482	9.37303	4.81671	1.12632	0.294021	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	0
20.2086	9.84601	4.84413	1.18469	0.332465	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	0.48394
20.2086	9.84601	4.84413	1.18469	0.332465	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	0
20.2901	10.3616	4.88211	1.28024	0.415116	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	2.0176
20.2901	10.3616	4.88211	1.28024	0.415116	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	0
20.3934	10.8903	4.96561	1.34785	0.448795	20.371	11.0109	20.1663	10.864	0.722256	4.7934	1.01363
20.3934	10.8903	4.96561	1.34785	0.448795	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	0
20.4214	11.3729	4.9215	1.42921	0.498029	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	0.848676
20.4214	11.3729	4.9215	1.42921	0.498029	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	0
20.5319	11.882	4.98368	1.45362	0.463092	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	0.71411
20.5319	11.882	4.98368	1.45362	0.463092	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	0
20.4713	12.4193	5.02264	1.56231	0.54558	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	2.03774
20.4713	12.4193	5.02264	1.56231	0.54558	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	0
20.4773	12.9111	5.00974	1.60781	0.533739	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	0.0562533
20.4773	12.9111	5.00974	1.60781	0.533739	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	0
20.3421	13.3382	4.86908	1.71469	0.608133	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	3.46302
20.3421	13.3382	4.86908	1.71469	0.608133	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	0
20.2856	13.8387	4.90868	1.76023	0.586832	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	0.281471
20.2856	13.8387	4.90868	1.76023	0.586832	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	0
20.1556	14.3222	4.9232	1.83164	0.603591	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	0.1011
20.1556	14.3222	4.9232	1.83164	0.603591	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	0
19.9181	14.7826	4.93426	1.94536	0.674916	19.781	14.773	19.934	14.6897	-1.30687	4.62805	1.43308
19.9181	14.7826	4.93426	1.94536	0.674916	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	0
19.8437	15.2328	4.87728	1.94806	0.589311	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	2.38236
19.8437	15.2328	4.87728	1.94806	0.589311	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	0
19.7536	15.6481	4.76611	1.95755	0.525265	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	2.37997
19.7536	15.6481	4.76611	1.95755	0.525265	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	0
19.5251	16.0573	4.74463	2.03443	0.558115	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	0.351898
19.5251	16.0573	4.74463	2.03443	0.558115	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	0
19.2692	16.4076	4.65489	2.12064	0.599943	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	1.31005
19.2692	16.4076	4.65489	2.12064	0.599943	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	0
19.0119	16.8092	4.67923	2.17897	0.597322	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	0.0612192
19.0119	16.8092	4.67923	2.17897	0.597322	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	0
18.6969	17.2439	4.80846	2.24087	0.597937	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	1.66829
18.6969	17.2439	4.80846	2.24087	0.597937	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	0
18.2766	17.5774	4.87056	2.36381	0.680708	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	2.27671
18.2766	17.5774	4.87056	2.36381	0.680708	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	0
18.0348	17.9698	4.83063	2.35841	0.583943	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	2.72617
18.0348	17.9698	4.83063	2.35841	0.583943	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	0
17.7595	18.283	4.71619	2.39019	0.550816	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	1.61153
17.7595	18.283	4.71619	2.39019	0.550816	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	0
17.4049	18.6319	4.76868	2.43197	0.532369	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	0.371029
17.4049	18.6319	4.76868	2.43197	0.532369	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	0
17.0839	18.9232	4.69428	2.46985	0.513109	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	0.649672
17.0839	18.9232	4.69428	2.46985	0.513109	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	0
16.6536	19.1422	4.69629	2.56844	0.575574	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	1.10137
16.6536	19.1422	4.69629	2.56844	0.575574	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	0
16.2585	19.4692	4.78332	2.58718	0.522913	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	1.5486
16.2585	19.4692	4.78332	2.58718	0.522913	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	0
15.8814	19.7737	4.79876	2.59879	0.468818	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	0.838482
15.8814	19.7737	4.79876	2.59879	0.468818	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	0
15.4637	20.0748	4.86613	2.61687	0.429828	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	0.878555
15.4637	20.0748	4.86613	2.61687	0.429828	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	0
15.1003	20.3669	4.82579	2.614	0.369456	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	1.14683
15.1003	20.3669	4.82579	2.614	0.369456	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	0
14.6759	20.6036	4.83447	2.65115	0.36966	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	0.00748459
14.6759	20.6036	4.83447	2.65115	0.36966	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	0
14.1704	20.7238	4.86736	2.75671	0.460359	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	2.36814
14.1704	20.7238	4.86736	2.75671	0.460359	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	0
13.6273	20.8174	4.9495	2.86379	0.540455	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	2.44504
13.6273	20.8174	4.9495	2.86379	0.540455	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	0
13.1313	20.894	4.94808	2.94505	0.576708	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	0.362068
13.1313	20.894	4.94808	2.94505	0.576708	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	0
12.7194	21.0177	4.84193	2.9679	0.532478	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	1.70859
12.7194	21.0177	4.84193	2.9679	0.532478	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	0
12.2314	21.0962	4.86406	3.01853	0.52856	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	0.0530918
12.2314	21.0962	4.86406	3.01853	0.52856	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	0
11.7216	21.0275	4.87065	3.13695	0.615884	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	2.12504
11.7216	21.0275	4.87065	3.13695	0.615884	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	0
11.2756	21.0389	4.80431	3.18229	0.595589	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057	0.56459
