px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
18.2788	6.59866	4.97964	0.978344	0.444422	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.504543
18.4098	6.81356	4.97604	1.00681	0.45491	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.237405
18.5593	6.94869	4.89713	0.999876	0.421043	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	2.21897
18.7088	7.15468	4.92935	1.00854	0.398471	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0.659727
18.9076	7.29079	4.88582	0.983757	0.346384	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	4.08319
18.9946	7.49611	4.81712	1.02674	0.390857	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	4.07903
19.0855	7.75751	4.86499	1.0726	0.421326	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	1.14819
19.2064	7.96476	4.86571	1.08725	0.411299	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0.296027
19.2858	8.18006	4.84532	1.1183	0.423805	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	1.38487
19.3851	8.39075	4.84692	1.13374	0.410308	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	2.28364
19.481	8.53839	4.74811	1.1369	0.391487	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	3.94045
19.5717	8.74771	4.72498	1.16061	0.401227	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0.574738
19.7347	8.92007	4.70093	1.14378	0.358924	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	4.17116
19.8073	9.14235	4.67857	1.17889	0.388582	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	1.02649
19.9382	9.36646	4.70946	1.18378	0.371484	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	2.9778
19.9824	9.58968	4.66229	1.23132	0.421765	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	2.71572
20.0698	9.82856	4.69315	1.25189	0.420823	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	0.739861
20.1304	10.0769	4.73492	1.27794	0.420055	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	7.14167
20.178	10.3487	4.79073	1.31519	0.437894	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	0.893971
20.1931	10.5856	4.76046	1.36503	0.484289	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	2.92138
20.2513	10.8577	4.81962	1.39143	0.485798	20.371	11.0109	20.1663	10.864	0.722256	4.7934	2.01113
20.2804	11.1138	4.84963	1.4202	0.486132	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	4.88291
20.3146	11.3522	4.84762	1.44389	0.485478	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	0.00115994
20.2587	11.6023	4.80795	1.52446	0.579863	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	10.5867
20.3307	11.8419	4.81626	1.52785	0.551152	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	4.82579
20.3577	12.0757	4.83181	1.53031	0.49972	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	3.74622
20.3443	12.3619	4.89747	1.56786	0.512005	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	1.10665
20.2935	12.6011	4.86574	1.62838	0.574826	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	3.16411
20.3188	12.84	4.85957	1.63995	0.556125	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	1.88336
20.3063	13.0717	4.84101	1.66622	0.558086	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	2.1056
20.2711	13.285	4.8012	1.69608	0.561217	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	1.03183
20.2327	13.5199	4.80236	1.72177	0.552244	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	1.29951
20.2123	13.778	4.83144	1.74253	0.544075	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	1.31473
20.1563	14.0057	4.81429	1.77948	0.563279	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	0.840701
20.101	14.2605	4.8452	1.80852	0.563498	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	0.346289
20.0292	14.4895	4.8416	1.8398	0.564872	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	1.37715
19.9204	14.7437	4.88796	1.88328	0.580263	19.781	14.773	19.934	14.6897	-1.30687	4.62805	1.18541
19.8543	14.962	4.86905	1.89913	0.552805	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	3.41235
19.8241	15.1798	4.8312	1.908	0.533573	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	2.18732
19.6908	15.3897	4.80909	1.9864	0.639456	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	7.82483
19.6617	15.5781	4.73059	1.99402	0.615137	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	3.66549
19.5683	15.7834	4.71536	2.01982	0.605424	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	1.35824
19.4645	15.9967	4.71821	2.04924	0.604438	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	0.0147451
19.3636	16.2051	4.71589	2.0637	0.56923	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	1.85265
19.2543	16.3826	4.67243	2.09358	0.571829	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	0.693116
19.1365	16.5793	4.66555	2.12321	0.574941	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	0.274375
19.0062	16.7893	4.68775	2.1519	0.574349	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	0.139219
18.8489	16.9813	4.70212	2.21249	0.643611	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	6.48904
18.6748	17.2162	4.79159	2.24716	0.644045	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	1.84441
18.5733	17.421	4.7717	2.22898	0.543677	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	6.12949
18.3594	17.6127	4.83288	2.27634	0.563361	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	3.83103
18.2233	17.8045	4.82364	2.27836	0.508939	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	2.32439
18.092	17.9907	4.80542	2.29425	0.499374	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	0.905616
17.9161	18.1453	4.7904	2.33859	0.536411	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	2.03347
